pid,city,address,price,rent,area,bedrooms
101,Jamshedpur,Dimna Road,2980000,7450,900,2
102,Jamshedpur,Kadma,5800000,14500,1200,2
103,Jamshedpur,Mango,2735000,6837,820,2
104,Jamshedpur,adityapur,5800000,14500,1440,3
105,Jamshedpur,Sonari,3950000,9875,1300,3
106,Jamshedpur,Ramnagar,3700000,9250,1300,3
107,Jamshedpur,Adarsh Nagar,2500000,6250,1050,2
108,Jamshedpur,Sonari,5200000,13000,1250,3
109,Jamshedpur,Mango,2200000,5500,740,2
110,Jamshedpur,Mango,2799900,6999,850,2
111,Jamshedpur,Mango,2950000,7375,900,2
112,Jamshedpur,Sonari,3800000,9500,1057,2
113,Jamshedpur,Dimna,4000000,10000,1389,3
114,Jamshedpur,Jamshedpur Ranchi Road,7500000,18750,2240,3
115,Jamshedpur,adityapur,4110000,10275,1270,3
116,Jamshedpur,Adityapur Chaibasa Road,2650000,6625,780,2
117,Jamshedpur,Golmuri,3100000,7750,850,3
118,Jamshedpur,Bistupur,5200000,13000,1245,2
119,Jamshedpur,Kadma,4000000,10000,1070,3
120,Jamshedpur,Uliyan,2975000,7437,850,2
301,Kanpur,Saket nagar,6200000,15500,1450,3
302,Kanpur,Shyam Nagar,3500000,8750,1090,2
303,Kanpur,Shyam Nagar,3550000,8875,1090,2
304,Kanpur,Keshav Nagar,4200000,10500,1050,2
305,Kanpur,Kakadev,2900000,7250,1000,2
306,Kanpur,Kalyanpur,3300000,8250,1250,2
307,Kanpur,Lajpat Nagar,3300000,8250,1000,2
308,Kanpur,Swaroop Nagar,3600000,9000,1050,2
310,Kanpur,Civil Lines,5000000,12500,1160,3
311,Kanpur,Khyora,5500000,13750,1650,3
312,Kanpur,Pandu Nagar,3300000,8250,1000,2
313,Kanpur,Kidwai Nagar,4500000,11250,1500,3
314,Kanpur,Kalyanpur,3100000,7750,1300,2
315,Kanpur,Swaroop Nagar,9500000,20000,1500,3
316,Kanpur,Panki B Block,3700000,9250,900,2
317,Kanpur,Saket nagar,4000000,10000,1150,2
318,Kanpur,Shastri Nagar,5700000,14250,1050,2
319,Kanpur,Singhpur,3800000,9500,1150,2
320,Kanpur,Shyam Nagar,3500000,8750,1100,2
401,Bareilly,Pilibhit Bypass Road,2350000,5875,950,2
402,Bareilly,Mahanagar Colony,2340000,5850,950,2
403,Bareilly,Nainital Road,1500000,3750,720,2
404,Bareilly,Nainital Road,1700000,4250,720,2
405,Bareilly,Mahanagar Colony,2350000,5875,746,2
406,Bareilly,Bareilly Bisalpur Road,3200000,8000,1150,2
407,Bareilly,Dohra Road,2350000,5875,980,2
408,Bareilly,Mahanagar Colony,2250000,5625,950,2
409,Bareilly,Dohara,2250000,5625,950,2
410,Bareilly,MJP Rohilkahand University,2350000,5875,950,2
411,Bareilly,Mahanagar Colony,2350000,5875,739,2
412,Bareilly,Dohra Road,2350000,5875,950,2
413,Bareilly,Suresh Sharma Nagar,4800000,12000,1245,2
414,Bareilly,Suresh Sharma Nagar,11000000,20000,2425,5
416,Bareilly,Civil Lines,7950000,19875,1726,3
417,Bareilly,Dohra Road,2250000,5625,950,2
418,Bareilly,Suresh Sharma Nagar,5800000,14500,1545,3
419,Bareilly,Bareilly Nainital Road,1299000,3247,720,2
420,Bareilly,Civil Lines,7000000,17500,1390,3
501,Mangalore,Surathkal,10328000,20000,1870,3
502,Mangalore,Derebail,4100000,10250,1015,2
503,Mangalore,Kulshekar,3524500,8811,1007,2
504,Mangalore,Barebail Road,4000000,10000,1391,2
505,Mangalore,Bondel,2650000,6625,750,2
506,Mangalore,Attavar,8573285,20000,1715,3
507,Mangalore,Nanthoor,3500000,8750,1100,2
508,Mangalore,Bejai,6600000,16500,1420,3
509,Mangalore,Derebail,6956000,17390,1331,3
510,Mangalore,Kavoor,3800000,9500,1100,2
511,Mangalore,Morgans Gate Road,5000000,12500,1385,3
512,Mangalore,Shakti Nagar,2300000,5750,700,1
513,Mangalore,Kankanady,8635000,20000,1570,3
514,Mangalore,Kadri,6125000,15312,1225,2
515,Mangalore,Surathkal,4200000,10500,1125,2
516,Mangalore,Bejai,4300000,10750,945,2
517,Mangalore,Padavinangady,5200000,13000,1092,2
518,Mangalore,Mangaluru,5070000,12675,1300,3
519,Mangalore,Kulshekar,5800000,14500,1650,3
520,Mangalore,Maroli,4800000,12000,1340,3
601,Kozhikode,Pottammal,6800000,17000,1136,3
602,Kozhikode,Velliparamba,5225000,13062,1375,3
604,Kozhikode,Poovangal,10500000,20000,1878,3
605,Kozhikode,Paroppadi,8400000,20000,1552,3
606,Kozhikode,YMCA Cross Rd,15200000,20000,1913,3
607,Kozhikode,Vellayil,5800000,14500,1883,3
608,Kozhikode,Koottuli,7500000,18750,1550,3
609,Kozhikode,Puthiyangadi,7300000,18250,1390,3
611,Kozhikode,Eranhipalam,10000000,20000,2000,4
612,Kozhikode,Mankave,12000000,20000,2418,3
613,Kozhikode,Mankave,6639000,16597,1355,3
615,Kozhikode,Vellayil,9000000,20000,1690,3
616,Kozhikode,Poovangal,10000000,20000,1634,3
